"t","x1","y1","x2","y2","theta1","theta2","omega1","omega2"
0,2.44929359829471e-16,2,0.999999682931835,1.99920367328927,3.14159265358979,1.57,0,0
0.001000100010001,1.31294022388845e-09,2,0.999999680329976,1.9991987723014,3.14159265293332,1.56999509901057,-1.31280653044837e-06,-0.00980097906858299
0.002000200020002,5.29979729059521e-09,2,0.999999672428343,1.99918406936729,3.14159265093989,1.56998039607166,-2.67365180440348e-06,-0.019601958163605
0.003000300030003,1.21047041508202e-08,2,0.999999658938708,1.99915956447747,3.14159264753744,1.56995589117343,-4.13057465494326e-06,-0.0294029373143284
0.004000400040004,2.19308467171028e-08,2,0.999999639343669,1.99912525763248,3.14159264262437,1.56992158431582,-5.7256094259772e-06,-0.0392039165511505
0.005000500050005,3.51402198679604e-08,2,0.999999612996397,1.99908114883311,3.14159263601968,1.56987747549871,-7.51480205730053e-06,-0.0490048959224486
0.006000600060006,5.21608829691242e-08,2,0.999999579027895,1.99902723808047,3.14159262750935,1.56982356472195,-9.54419127003581e-06,-0.0588058754813545
0.007000700070007,7.35209886533336e-08,2,0.999999536381021,1.99896352537599,3.1415926168293,1.56975985198531,-1.18618180340952e-05,-0.0686068552964247
0.008000800080008,9.98451173079981e-08,2,0.999999483806828,1.99889001072152,3.14159260366723,1.56968633728849,-1.45157243132678e-05,-0.0784078354531543
0.009000900090009,1.31853941343754e-07,2,0.999999419864226,1.99880669411941,3.14159258766282,1.56960302063111,-1.75539531484574e-05,-0.088208816056799
0.01000100010001,1.70364233188072e-07,1.99999999999999,0.999999342919987,1.99871357557256,3.14159256840768,1.56950990201265,-2.10245488276107e-05,-0.098009797235195
0.011001100110011,2.1628886262072e-07,1.99999999999999,0.99999925114875,1.99861065508452,3.14159254544536,1.56940698143246,-2.49755570395084e-05,-0.107810779141579
0.012001200120012,2.70636802991011e-07,1.99999999999998,0.999999142533019,1.99849793265965,3.14159251827139,1.56929425888973,-2.94550250284014e-05,-0.117611761957407
0.013001300130013,3.34513132105986e-07,1.99999999999997,0.999999014863171,1.99837540830316,3.14159248633323,1.56917173438345,-3.45110017483376e-05,-0.12741274589517
0.014001400140014,4.09119039335837e-07,1.99999999999996,0.999998865737456,1.9982430820213,3.14159244903027,1.56903940791237,-4.01915380171325e-05,-0.137213731201214
0.015001500150015,4.9575182472573e-07,1.99999999999994,0.999998692562005,1.99810095382147,3.14159240571388,1.56889727947498,-4.65446866699553e-05,-0.147014718158551
0.016001600160016,5.95804908765768e-07,1.99999999999991,0.999998492550831,1.99794902371241,3.14159235568734,1.56874534906948,-5.36185027125087e-05,-0.156815707089672
0.017001700170017,7.10767829726454e-07,1.99999999999987,0.999998262725833,1.99778729170429,3.14159229820588,1.56858361669371,-6.14610434737547e-05,-0.166616698359363
0.018001800180018,8.4222625786955e-07,1.99999999999982,0.999997999916806,1.99761575780899,3.14159223247666,1.56841208234514,-7.01203687581646e-05,-0.176417692377509
0.019001900190019,9.9186198923082e-07,1.99999999999975,0.99999770076144,1.99743442204017,3.1415921576588,1.56823074602079,-7.96445409974586e-05,-0.186218689601906
0.02000200020002,1.16145296338361e-06,1.99999999999966,0.999997361705333,1.99724328441357,3.14159207286331,1.56803960771719,-9.00816254018046e-05,-0.196019690541066
0.021002100210021,1.35287325722158e-06,1.99999999999954,0.999996979001987,1.99704234494716,3.14159197715316,1.56783866743037,-0.000101479690110439,-0.20582069575702
0.022002200220022,1.56809309916957e-06,1.99999999999939,0.999996548712825,1.99683160366137,3.14159186954324,1.56762792515574,-0.000113886806341681,-0.215621705868118
0.023002300230023,1.80917887540087e-06,1.99999999999918,0.999996066707192,1.99661106057933,3.14159174900036,1.56740738088807,-0.00012735104854231,-0.225422721551833
0.024002400240024,2.078293128949e-06,1.99999999999892,0.99999552866236,1.99638071572712,3.14159161444323,1.56717703462142,-0.000141920494536271,-0.235223743547552
0.025002500250025,2.37769457569493e-06,1.99999999999859,0.999994930063543,1.996140569134,3.14159146474251,1.56693688634908,-0.000157643225672671,-0.245024772659374
0.026002600260026,2.70973810347893e-06,1.99999999999816,0.999994266203894,1.99589062083271,3.14159129872074,1.56668693606351,-0.000174567326973045,-0.254825809758897
0.027002700270027,3.07687478808773e-06,1.99999999999763,0.999993532184526,1.9956308708597,3.1415911151524,1.56642718375625,-0.000192740887277847,-0.264626855788013
0.028002800280028,3.48165189503094e-06,1.99999999999697,0.999992722914509,1.99536131925546,3.14159091276385,1.56615762941787,-0.000212211999392145,-0.274427911761686
0.029002900290029,3.92671288487005e-06,1.99999999999615,0.999991833110882,1.99508196606481,3.14159069023335,1.56587827303788,-0.000233028760230479,-0.284228978770738
0.03000300030003,4.41479743187021e-06,1.99999999999513,0.999990857298669,1.99479281133719,3.14159044619108,1.56558911460468,-0.000255239270960845,-0.294030057984628
0.031003100310031,4.94874142666475e-06,1.99999999999388,0.999989789810883,1.994493855127,3.14159017921908,1.56529015410543,-0.000278891637147793,-0.303831150654225
0.032003200320032,5.53147697891971e-06,1.99999999999235,0.999988624788528,1.99418509749395,3.1415898878513,1.56498139152602,-0.000304033968894579,-0.313632258114581
0.033003300330033,6.16603243776194e-06,1.99999999999049,0.999987356180625,1.99386653850334,3.14158957057357,1.56466282685095,-0.000330714380984358,-0.323433381787702
0.034003400340034,6.85553239444361e-06,1.99999999998825,0.999985977744213,1.99353817822651,3.1415892258236,1.56433446006327,-0.000358980993020368,-0.333234523185307
0.035003500350035,7.60319769566488e-06,1.99999999998555,0.999984483044363,1.99320001674112,3.14158885199095,1.56399629114444,-0.000388881929565097,-0.343035683911591
