t,x1,y1,x2,y2,theta1,theta2,omega1,omega2
0.0,2.4492935982947064e-16,2.0,0.9999996829318348,1.9992036732892668,3.141592653589793,1.57,0.001,0.001
0.001,-1.9986978869502708e-6,1.9999999999990012,0.9999976811206697,1.9991997732910274,3.1415936529387367,1.5699961000015168,0.0009986952460728814,-0.008799996968774688
0.002,-3.994754412347529e-6,1.9999999999960105,0.9999956740071971,1.9991860732970357,3.1415946509669994,1.5699824000060538,0.0009973506345791108,-0.018599993963705975
0.003,-5.988041837236368e-6,1.9999999999910358,0.9999936613163762,1.999162573307589,3.141595647610712,1.569958900013571,0.0009959181411558138,-0.028399991013773832
0.004,-7.97833637262749e-6,1.9999999999840865,0.9999916425810965,1.9991292733232122,3.1415966427579796,1.5699256000239965,0.0009943497411547587,-0.03819998815359984
0.005,-9.965318181029134e-6,1.9999999999751732,0.9999896171421766,1.9990861733446825,3.1415976362488838,1.5698825000372196,0.0009925974094864606,-0.047999985426277245
0.006,-1.1948571372894363e-5,1.9999999999643079,0.9999875841483669,1.9990332733730705,3.1415986278754797,1.5698296000530818,0.0009906131204644097,-0.05779998288618425
0.007,-1.392758400662108e-5,1.9999999999515057,0.9999855425563506,1.998970573409789,3.1415996173817966,1.5697669000713625,0.0009883488476492904,-0.06759998060181005
0.008,-1.5901748089440203e-5,1.9999999999367837,0.9999834911307425,1.998898073456653,3.141600604463838,1.569694400091765,0.0009857565636934526,-0.07739997865857523
0.009,-1.7870359568533897e-5,1.9999999999201625,0.9999814284440974,1.9988157735159549,3.1416015887695776,1.5696121001138972,0.0009827882401855779,-0.0871999771616517
0.01,-1.983261833725283e-5,1.9999999999016669,0.9999793528769048,1.9987236735905456,3.141602569898962,1.5695200001372507,0.0009793958474955625,-0.09699997623878186
0.011,-2.1787628225346222e-5,1.9999999998813247,0.999977262617598,1.9986217736839311,3.141603547403906,1.5694181001611776,0.000975531354619644,-0.10679997604309681
0.012,-2.3734397000738212e-5,1.9999999998591695,0.9999751556625529,1.9985100738003785,3.141604520788294,1.5693064001848622,0.0009711467290258084,-0.11659997675593425
0.013,-2.567183636331063e-5,1.9999999998352391,0.999973029816094,1.9983885739450324,3.1416054895079752,1.5691849002072926,0.0009661939364995115,-0.1263999785896538
0.014,-2.7598761944903007e-5,1.999999999809577,0.9999708826904946,1.9982572741240459,3.141606452970766,1.5690536002272277,0.000960624940989741,-0.13619998179045215
0.015,-2.9513893300430795e-5,1.9999999997822324,0.9999687117059858,1.998116174344719,3.141607410536444,1.568912500243162,0.0009543917044554558,-0.14599998664117808
0.016,-3.1415853907885404e-5,1.999999999753261,0.9999665140907568,1.9979652746156518,3.141608361516748,1.5687616002532885,0.0009474461867124382,-0.15579999346414178
0.017,-3.3303171164781495e-5,1.9999999997227247,0.9999642868809582,1.9978045749469053,3.1416093051753764,1.5686009002554557,0.0009397403452805806,-0.16560000262392857
