t,x1,y1,x2,y2,theta1,theta2,omega1,omega2
0.0,2.4492935982947064e-16,2.0,0.9999996829318348,1.9992036732892668,3.141592653589793,1.57,0.0,0.0
0.001,1.3046695064442056e-9,2.0,0.9999996803224986,1.9991987732913468,3.1415926529374585,1.5699951000005168,-1.3086708625074894e-6,-0.009799998968515244
0.002,5.266700209963509e-9,2.0,0.999999672398453,1.9991840732976898,3.141592650956443,1.5699804000020543,-2.6653659908678035e-6,-0.019599997963225743
0.003,1.2030165553303667e-8,2.0,0.9999996588715914,1.99915957330861,3.1415926475747105,1.569955900004572,-4.118109806926964e-6,-0.029399997013149153
0.004,2.183518812494429e-8,1.9999999999999998,0.9999996392617366,1.9991252733246503,3.141592642672199,1.569921600007998,-5.7149270444917056e-6,-0.03919999615294784
0.005,3.5017939015849767e-8,1.9999999999999998,0.9999996128966404,1.9990811733466105,3.1415926360808237,1.5698775000122218,-7.503842905221837e-6,-0.04899999542575091
0.006,5.201064226036139e-8,1.9999999999999993,0.9999995789119874,1.9990272733755856,3.141592627584472,1.5698236000170842,-9.532883214435176e-6,-0.058799994885976065
0.007,7.33415730598405e-8,1.9999999999999987,0.9999995362513937,1.9989635734130184,3.1415926169190067,1.5697599000223648,-1.1850074576784926e-5,-0.06859999460215051
0.008,9.963505955902531e-8,1.9999999999999976,0.9999994836664086,1.9988900734607606,3.1415926037722635,1.5696864000277664,-1.4503444531777504e-5,-0.0783999946597318
0.009,1.3161148906327987e-7,1.9999999999999956,0.9999994197165207,1.9988067735211463,3.1415925877840487,1.5696031000328967,-1.7541021709099677e-5,-0.08819999516392865
0.01,1.7008730448588036e-7,1.9999999999999927,0.9999993427691548,1.9987136735970772,3.141592568546141,1.5695100000372473,-2.1010835983721054e-5,-0.09799999624251776
0.011,2.1597501234162085e-7,1.9999999999999882,0.9999992509996795,1.9986107736921177,3.141592545602287,1.5694071000401695,-2.4960918630745343e-5,-0.10779999804866447
0.012,2.7028318008227803e-7,1.9999999999999818,0.9999991423914049,1.9984980738106028,3.141592518448203,1.5692944000408473,-2.9439302479971772e-5,-0.11760000076374338
0.013,3.341164458665739e-7,1.999999999999972,0.9999990147355922,1.9983755739577567,3.1415924865315703,1.5691719000382687,-3.4494022070135716e-5,-0.12740000460013182
0.014,4.0867551678381874e-7,1.9999999999999583,0.9999988656314525,1.9982432741398222,3.141592449252035,1.5690396000311915,-4.017311380282784e-5,-0.13720000980409158
0.015,4.952571741829817e-7,1.9999999999999387,0.9999986924861517,1.998101174364203,3.141592405961206,1.5688975000181107,-4.6524616095950526e-5,-0.14700001665844237
0.016,5.952542807781178e-7,1.9999999999999114,0.9999984925148183,1.9979492746396141,3.141592355962653,1.5687455999972177,-5.3596569538707604e-5,-0.15680002548557528
0.017,7.101557806483686e-7,1.9999999999998739,0.9999982627405432,1.9977875749762486,3.141592298511903,1.568583899966362,-6.14370170433675e-5,-0.16660003665013362
0.018,8.415467063433884e-7,1.999999999999823,0.9999979999943868,1.99761607538595,3.14159223281644,1.5684123999230055,-7.009400399034005e-5,-0.17640005056176433
0.019,9.91108184212415e-7,1.9999999999997544,0.9999977009153854,1.9974347758823991,3.141592158035701,1.568231099864177,-7.961557838698569e-5,-0.1862000676780159
0.02,1.1606174397333404e-6,1.9999999999996632,0.9999973619505559,1.9972436764813117,3.1415920732810734,1.5680399997864216,-9.004979101880085e-5,-0.19600008850713704
0.021,1.3519478028417798e-6,1.999999999999543,0.9999969793549018,1.9970427772006478,3.141591977615892,1.56783909968575,-0.00010144469559969705,-0.20580011361087674
0.022,1.5670687141483212e-6,1.999999999999386,0.9999965491914202,1.9968320780608304,3.141591870055436,1.5676283995575826,-0.00011384834892171185,-0.21560014360728205
0.023,1.8080457302675944e-6,1.9999999999991827,0.9999960673311065,1.9966115790849797,3.141591749566928,1.567407899396693,-0.00012730881100412065,-0.22540017917349425
0.024,2.0770405318118764e-6,1.9999999999989215,0.9999955294529635,1.9963812802991532,3.1415916150695273,1.5671775991971462,-0.00014187414524190577,-0.23520022104854232
0.025,2.3763109296083375e-6,1.9999999999985882,0.9999949310440086,1.9961411817326016,3.1415914654343284,1.5669374989522373,-0.00015759241855355848,-0.24500027003613448
0.026,2.70821087180447e-6,1.9999999999981664,0.9999942673992802,1.995891283418033,3.1415912994843573,1.5666875986544233,-0.00017451170152816783,-0.25480032700744715
0.027,3.0751904518616883e-6,1.999999999997636,0.9999935336218473,1.995631585391891,3.1415911159945673,1.566427898295256,-0.00019268006857176955,-0.2646003929039109
0.028,3.4797959138844e-6,1.9999999999969729,0.999992724622815,1.9953620876946399,3.1415909136918363,1.5661583978653089,-0.0002121455980529114,-0.27440046873999446
0.029,3.9246696668308535e-6,1.9999999999961493,0.9999918351213397,1.995082790371067,3.14159069125496,1.5658790973541041,-0.00023295637244740965,-0.2842005556059845
0.03,4.412550284513137e-6,1.9999999999951323,0.9999908596446301,1.9947936934705912,3.141590447314651,1.5655899967500342,-0.00025516047848224963,-0.29400065467076275
0.031,4.946272521584384e-6,1.9999999999938836,0.9999897925279636,1.9944947970475841,3.1415901804535324,1.5652910960402822,-0.0002788060072786061,-0.3038007671845808
0.032,5.528767317979655e-6,1.9999999999923581,0.999988627914692,1.994186101161705,3.1415898892061342,1.5649823952107396,-0.000303941054493941,-0.31360089448183004
0.033,6.163061809574074e-6,1.9999999999905043,0.9999873597562534,1.9938676058782436,3.1415895720588884,1.5646638942459201,-0.00033061372046314737,-0.32340103798380904
0.034,6.852279338840959e-6,1.9999999999882616,0.9999859818121837,1.9935393112684756,3.141589227450124,1.5643355931288714,-0.0003588721103386895,-0.33320119920148517
0.035,7.5996394628454094e-6,1.9999999999855613,0.9999844876501262,1.99320121741003,3.141588853770062,1.5639974918410842,-0.0003887643342297428,-0.3430013797382566
0.036,8.408457963014262e-6,1.9999999999823244,0.9999828706458426,1.9928533243872673,3.1415884493608117,1.5636495903623986,-0.00042033850734023647,-0.35280158129270356
0.037,9.282146858458739e-6,1.9999999999784603,0.9999811239832281,1.9924956322916685,3.141588012516364,1.563291888670907,-0.0004536427501058283,-0.3626018056613426
0.038,1.0224214413079858e-5,1.9999999999738665,0.9999792406543198,1.9921281412222358,3.1415875414825867,1.5629243867428555,-0.0004887251883297522,-0.3724020547413735
0.039,1.1238265148002905e-5,1.9999999999684253,0.9999772134593111,1.9917508512859035,3.141587034457219,1.5625470845525407,-0.0005256339533174452,-0.3822023305334148
0.04,1.232799985401189e-5,1.999999999962005,0.9999750350065664,1.9913637625979637,3.141586489589866,1.5621599820722063,-0.0005644171820100221,-0.3920026351442511
0.041,1.3497215599543125e-5,1.9999999999544562,0.9999726977126302,1.990966875282498,3.1415859049819934,1.5617630792719346,-0.0006051230171165093,-0.40180297078955407
0.042,1.4749805744896018e-5,1.9999999999456108,0.9999701938022452,1.9905601894728253,3.1415852786869207,1.5613563761195361,-0.0006477996072447727,-0.4116033397966182
0.043,1.6089759955555714e-5,1.99999999993528,0.999967515308366,1.9901437053119575,3.1415846087098154,1.560939872580438,-0.0006924951070311501,-0.42140374460708246
0.044,1.7521164210186617e-5,1.9999999999232523,0.9999646540721716,1.989717422953068,3.141583893007688,1.5605135686175662,-0.0007392576772687903,-0.431204187779641
0.045,1.9048200816619543e-5,1.9999999999092914,0.9999616017430829,1.9892813425599727,3.141583129489385,1.5600774641912292,-0.000788135485034424,-0.44100467199275184
0.046,2.067514842162158e-5,1.9999999998931346,0.9999583497787756,1.988835464307618,3.1415823160155822,1.559631559258995,-0.0008391767038141248,-0.45080520004736196
